survival,weight,wing.length,tarsus.length,first.clutch.size,nestling.fate,second.clutch,carotenoid.chroma,bib.area,total.brightness
yes,10.1,53,20.2,5,Fledged,Yes,0.991766,528.856,17.2541
no,9.6,53,19.8,NA,NA,NA,0.900667,389.21,22.655656
yes,11.6,52,19.3,4,Fledged,Yes,0.921231,413.348,19.852408
no,12.8,50.5,19.6,5,Fledged,Yes,1.043488,507.705,10.99384
yes,10.7,48.5,18.6,5,Fledged,Yes,0.976068,363.323,13.22048
no,11.1,49,18.7,4,Predated,No,1.0003119,235.266,14.77038
no,11.5,51,18.9,3,Fledged,Yes,0.952582,217.229,22.9503952
no,10.9,52,19.3,3,Fledged,No,0.93661,445.283,18.36949
yes,11.4,54,19,4,Fledged,Yes,1.026663,378.311,9.98276
yes,11.7,52,19.1,4,Predated,No,0.935677,343.333,18.16114
no,10.1,49,18.9,4,Fledged,No,0.693209,40.773,19.722875
no,10.5,50,19.2,4,Predated,No,0.938081,351.273,23.85693
no,10.8,48.5,19.2,4,Predated,No,0.976787,247.129,15.40995
yes,11,53,20.1,5,Fledged,Yes,0.887866,445.017,21.111678
no,11,49.5,19.2,4,Predated,No,0.823462,276.997,29.310312
no,10.1,49,18.5,3,Predated,No,0.942462,384.983,26.932078
no,11.1,51,19.3,3,Predated,No,0.899058,343.23,16.54896
yes,10.7,51,19.6,4,Fledged,No,0.944432,365.529,26.409453
no,9.8,51,17.4,4,Predated,No,0.96113,535.806,19.41093
no,11.1,49.5,19.4,4,Predated,No,0.839847,177.736,25.159326
no,10.9,51.5,19.4,4,Predated,No,0.819831,449.896,36.101593
no,11.6,54,19.2,4,Predated,No,0.887045,539.068,45.329284
no,11.3,49.5,19.4,4,Fledged,No,0.854898,305.206,16.72972
no,10.6,48.5,18.2,2,Predated,No,0.949621,163.973,27.693174
no,10.6,50.5,19.6,4,Fledged,Yes,0.959842,329.665,18.86483
yes,11.9,49.5,20.4,3,Predated,No,0.938358,NA,18.3159
no,10,52,20.5,5,Predated,No,0.95854,336.867,20.928478
yes,9.7,50.5,19.1,4,Fledged,Yes,0.687588,383.478,30.591825
no,10.2,50.5,18.8,3,Fledged,Yes,0.897404,65.402,20.59716
no,11.1,51.5,19.5,4,Fledged,No,0.831438,450.232,18.699458
yes,11.8,52,19.8,4,Fledged,Yes,0.899543,504.408,30.836487
yes,11.2,50.5,19.4,5,Predated,No,0.702969,336.118,32.832048
yes,11.9,48.5,19.6,4,Predated,No,0.727851,304.157,24.979887
yes,10.9,49.5,18.3,4,Predated,No,0.877034,71.937,10.41219
yes,9.7,50,19.5,4,Fledged,No,0.79219,293.775,8.33136
no,10.8,48.5,18.4,4,Predated,No,0.962471,233.957,22.08017
yes,9.4,49.5,19.6,4,Predated,No,NA,348.27,NA
no,11.5,48.5,19.8,4,Predated,No,0.844313,332.095,39.046022
no,9.3,48,17.9,3,Predated,No,0.789897,55.386,23.865562
no,10.8,47.5,19.4,4,Predated,No,0.895857,122.072,12.15717
no,10.3,46.5,19,4,Predated,No,0.861002,391.637,20.550622
no,11.1,48.5,19.4,4,Fledged,No,0.983035,267.057,8.12764
yes,12.1,53,18.6,4,Predated,No,0.701993,377.579,39.16429
yes,10.3,48,18,4,Fledged,No,0.539896,218.079,30.789708
no,11.2,49,19.5,4,Predated,No,0.833152,145.306,14.92441
no,10.3,48,20.1,4,Fledged,No,0.955708,274.357,12.65514
NA,11.1,49.5,18.3,4,Predated,No,0.847,239.602,24.02747346
NA,9.2,51,18.7,NA,NA,NA,0.744,178.838,19.96036561
NA,10.9,47.5,17.8,4,Fledged,No,0.9,115.495,17.12046279
yes,10.4,50,18.7,5,Predated,No,0.861,297.846,14.34618253
yes,10.8,51,20,5,Fledged,No,0.905,319.152,18.60457087
no,10.9,52,20,4,Predated,Yes,0.9,357.032,42.63951924
NA,11.5,49.5,18.8,4,Predated,No,0.914,312.045,29.62545998
no,10.5,49,19,4,Predated,No,0.931,369.144,27.06063403
no,10.1,50,18.9,4,Fledged,No,0.878,243.181,23.61458664
NA,10.9,50,19.8,4,Fledged,No,0.915,129.378,20.42454043
NA,10.3,49.5,19,4,Predated,No,0.871,365.909,27.21555505
NA,10.5,50.5,19.3,4,Fledged,No,0.827,316.699,24.14554113
NA,11.3,52,18.6,4,Fledged,Yes,0.808,337.54,36.53724035
NA,8.5,47.5,18.9,NA,Fledged,No,0.691,177.704,21.27144067
NA,10.1,51,19.1,4,Predated,No,0.739,371.125,23.46108213
NA,11,47.5,19.9,4,Predated,No,0.94,216.757,24.21370856
NA,10.5,51,18.7,4,Fledged,Yes,0.846,309.689,25.25369876
yes,10.9,48.5,19.2,4,Predated,No,0.838,69.014,20.07045172
NA,11.8,48.5,19,4,Predated,No,0.639973,266.841,37.986178
NA,9.2,50.5,19.6,NA,NA,NA,0.739731,281.4,52.7688
NA,10.6,51,19.6,4,Fledged,No,0.807045,273.225,30.658836
NA,10.4,52,18.7,5,Predated,No,0.817416,525.835,30.730205
NA,9.2,52,18.7,NA,NA,NA,0.69314,415.772,51.28514
NA,10.9,50.5,18,4,Fledged,No,0.512472,62.338,16.086465
NA,11.5,51.5,19,4,Predated,No,0.677218,364.283,27.337007
NA,13.4,53,19.2,NA,NA,NA,0.653542,432.718,44.06846
NA,9.8,52,19.5,5,Predated,No,0.681199,327.173,35.412069
NA,11,48.5,18.8,4,Predated,No,0.810287,334.142,34.882467
NA,11.6,52,20.7,5,Predated,No,0.81453,446.735,44.370636
NA,10.8,50.5,19.4,4,Fledged,No,0.612847,50.403,31.591149
NA,10.9,51.5,19.2,4,Fledged,Yes,0.719086,363.986,39.40443
NA,11.4,52.5,19.3,2,Predated,No,0.824095,412.428,49.08601